company,filing_type,filing_year,filing_date,period_end_date,source_url,local_file
Apple Inc.,10-K,2023,2023-11-03,2023-09-30,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,apple_2023_10k.html
Apple Inc.,10-K,2024,2024-11-01,2024-09-28,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,apple_2024_10k.html
Apple Inc.,10-K,2025,2025-10-31,2025-09-27,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,apple_2025_10k.html
